patient
Volume_LV_ED
SurfaceArea_LV_ED
SurfaceAreatoVolumeRatio_LV_ED
Sphericity_LV_ED
SphericalDisproportion_LV_ED
Compactness_LV_ED
Compactness2_LV_ED
Max3Ddiameter_LV_ED
Max2DdiameterSlice_LV_ED
Max2DdiameterColumn_LV_ED
Max2DdiameterRow_LV_ED
MajorAxis_LV_ED
MinorAxis_LV_ED
LeastAxis_LV_ED
Elongation_LV_ED
Flatness_LV_ED
Volume_LV_ES
SurfaceArea_LV_ES
SurfaceAreatoVolumeRatio_LV_ES
Sphericity_LV_ES
SphericalDisproportion_LV_ES
Compactness_LV_ES
Compactness2_LV_ES
Max3Ddiameter_LV_ES
Max2DdiameterSlice_LV_ES
Max2DdiameterColumn_LV_ES
Max2DdiameterRow_LV_ES
MajAxis_LV_ES
MinorAxis_LV_ES
LeastAxis_LV_ES
Elongation_LV_ES
Flatness_LV_ES
Volume_RV_ED
SurfaceArea_RV_ED
SurfaceAreatoVolumeRatio_RV_ED
Sphericity_RV_ED
SphericalDisproportion_RV_ED
Compactness_RV_ED
Compactness2_RV_ED
Max3Ddiameter_RV_ED
Max2DdiameterSlice_RV_ED
Max2DdiameterColumn_RV_ED
Max2DdiameterRow_RV_ED
MajorAxis_RV_ED
MinorAxis_RV_ED
LeastAxis_RV_ED
Elongation_RV_ED
Flatness_RV_ED
Volume_RV_ES
SurfaceArea_RV_ES
SurfaceAreatoVolumeRatio_RV_ES
Sphericity_RV_ES
SphericalDisproportion_RV_ES
Compactness_RV_ES
Compactness2_RV_ES
Max3Ddiameter_RV_ES
Max2DdiameterSlice_RV_ES
Max2DdiameterColumn_RV_ES
Max2DdiameterRow_RV_ES
MajorAxis_RV_ES
MinorAxis_RV_ES
LeastAxis_RV_ES
Elongation_RV_ES
Flatness_RV_ES
Volume_MYO_ED
SurfaceArea_MYO_ED
SurfaceAreatoVolumeRatio_MYO_ED
Sphericity_MYO_ED
SphericalDisproportion_MYO_ED
Compactness_MYO_ED
Compactness2_MYO_ED
Max3Ddiameter_MYO_ED
Max2DdiameterSlice_MYO_ED
Max2DdiameterColumn_MYO_ED
Max2DdiameterRow_MYO_ED
MajorAxis_MYO_ED
MinorAxis_MYO_ED
LeastAxis_MYO_ED
Elongation_MYO_ED
Flatness_MYO_ED
Volume_MYO_ES
SurfaceArea_MYO_ES
SurfaceAreatoVolumeRatio_MYO_ES
Sphericity_MYO_ES
SphericalDisproportion_MYO_ES
Compactness_MYO_ES
Compactness2_MYO_ES
Max3Ddiameter_MYO_ES
Max2DdiameterSlice_MYO_ES
Max2DdiameterColumn_MYO_ES
Max2DdiameterRow_MYO_ES
MajorAxis_MYO_ES
MinorAxis_MYO_ES
LeastAxis_MYO_ES
Elongation_MYO_ES
Flatness_MYO_ES
Energy_LV_ED
TotalEnergy_LV_ED
Entropy_LV_ED
Minimum_LV_ED
Percentile10_LV_ED
Percentile90_LV_ED
Maximum_LV_ED
Mean_LV_ED
Median_LV_ED
InterquartileRange_LV_ED
Range_LV_ED
MeanAbsoluteDeviation_LV_ED
RobustMeanAbsoluteDeviation_LV_ED
RootMeanSquared_LV_ED
StandardDeviation_LV_ED
Skewness_LV_ED
Kurtosis_LV_ED
Variance_LV_ED
Uniformity_LV_ED
Energy_LV_ES
TotalEnergy_LV_ES
Entropy_LV_ES
Minimum_LV_ES
Percentile10_LV_ES
Percentile90_LV_ES
Maximum_LV_ES
Mean_LV_ES
Median_LV_ES
InterquartileRange_LV_ES
Range_LV_ES
MeanAbsoluteDeviation_LV_ES
RobustMeanAbsoluteDeviation_LV_ES
RootMeanSquared_LV_ES
StandardDeviation_LV_ES
Skewness_LV_ES
Kurtosis_LV_ES
Variance_LV_ES
Uniformity_LV_ES
Energy_RV_ED
TotalEnergy_RV_ED
Entropy_RV_ED
Minimum_RV_ED
Percentile10_RV_ED
Percentile90_RV_ED
Maximum_RV_ED
Mean_RV_ED
Median_RV_ED
InterquartileRange_RV_ED
Range_RV_ED
MeanAbsoluteDeviation_RV_ED
RobustMeanAbsoluteDeviation_RV_ED
RootMeanSquared_RV_ED
StandardDeviation_RV_ED
Skewness_RV_ED
Kurtosis_RV_ED
Variance_RV_ED
Uniformity_RV_ED
Energy_RV_ES
TotalEnergy_RV_ES
Entropy_RV_ES
